begin,end,distance,angle,xcoord,ycoord,thick_norm,means,sds
6495870.83159939,6511758.35873335,12265,38.9013942826884,543247.647962282,6506896.93309023,0.9981787404503707,1460.06,80.2710184313118
6495870.83159939,6511758.35873335,12515,38.9013942826884,543404.643461246,6507091.49005696,0.9890410794100852,1471.75,80.24317728006537
6495870.83159939,6511758.35873335,12765,38.9013942831037,543561.63896021,6507286.0470237,1.0,1480.06,76.1204072506184
6495870.83159939,6511758.35873335,13015,38.9013942827686,543718.6344591752,6507480.60399043,1.0,1507.27,77.65485883059733
6495870.83159939,6511758.35873335,13265,38.9013942789505,543875.62995814,6507675.16095716,0.9990376212782464,1537.08,66.9738277239699
6495870.83159939,6511758.35873335,13515,32.4856027893517,544020.730204606,6507878.37913459,0.9917298248882152,1556.34,71.31917273777087
6495870.83159939,6511758.35873335,13765,32.4856027925042,544155.002120878,6508089.26074237,1.0,1556.1,76.33524742869444
6495870.83159939,6511758.35873335,14015,32.4856027925042,544289.2740371489,6508300.14235015,0.997855045720104,1547.75,74.2330620411148
6495870.83159939,6511758.35873335,14265,32.4856027922739,544423.545953424,6508511.02395793,0.9999147563179069,1530.06,77.35215834092801
6495870.83159939,6511758.35873335,14515,32.4856027930106,544557.817869695,6508721.90556571,1.0,1519.19,84.9829035747779
6495870.83159939,6511758.35873335,14765,32.4856027894079,544692.089785968,6508932.78717349,0.9795782137891892,1508.79,80.63142005446761
6495870.83159939,6511758.35873335,15015,32.4856027925605,544826.361702242,6509143.66878127,1.0,1509.49,88.09046429665358
6495870.83159939,6511758.35873335,15265,32.4856027925042,544960.633618513,6509354.55038906,1.0,1487.54,71.29185367207111
6495870.83159939,6511758.35873335,15515,32.4856027922176,545094.905534784,6509565.43199684,0.9850466579654482,1495.9,89.05138965788237
6495870.83159939,6511758.35873335,15765,32.4856027925042,545229.17745106,6509776.31360462,0.993278799050048,1502.19,94.211007318678
6495870.83159939,6511758.35873335,16015,34.2578252642406,545368.535972123,6509983.85264433,1.0,1518.53,82.52932266776457
6495870.83159939,6511758.35873335,16265,34.2578252642406,545509.265425939,6510190.48086319,0.9874692568534646,1518.53,82.52932266776457
6495870.83159939,6511758.35873335,16515,34.2578252642406,545649.994879755,6510397.10908205,1.0,1518.53,82.52932266776457
6495870.83159939,6511758.35873335,16765,34.2578252612369,545790.724333573,6510603.7373009,1.0,1518.53,82.52932266776457
6495870.83159939,6511758.35873335,17015,41.9175970570462,545943.691937175,6510800.80778821,0.9964961472975444,1518.53,82.52932266776457
6495870.83159939,6511758.35873335,17265,41.9175970609675,546110.707217638,6510986.83438871,0.9936559406048269,1518.53,82.52932266776457
6495870.83159939,6511758.35873335,17515,41.9175970570462,546277.722498099,6511172.8609892,1.0,1518.53,82.52932266776457
6495870.83159939,6511758.35873335,17765,41.9175970574929,546444.737778558,6511358.8875897,1.0,1518.53,82.52932266776457
6495870.83159939,6511758.35873335,18015,41.9175970574929,546611.753059018,6511544.9141902,0.9752090016142592,1518.53,82.52932266776457
6495870.83159939,6511758.35873335,18265,41.9175970610172,546778.76833948,6511730.9407907,0.9770083303948778,1518.53,82.52932266776457
6495870.83159939,6511758.35873335,18515,39.97439624932431,546940.323509324,6511921.70476509,0.9057846524207138,1518.53,82.52932266776457
